11934,18,,,,,,,,,,,,,,,,
"Lever_position","ship_speed","gt_torque","gt_revs","gg_revs","star_prop_torque","port_prop_torque","hp_exit_temp","gt_in_airT","gt_out_airT","HP_exit_pres","GT_in_pres","GT_out_pres","gas_exhaust_pres","turb_injec","fuel_flow","GT_compre_coef","GT_turb_coef"
3.144,9,8380.4,1386.8,7140.3,60.369,60.369,596.93,288,585.94,1.388,0.998,7.493,1.02,12.712,0.252,0.95,0.986
4.161,12,14725,1547.5,7814.9,113.78,113.78,651.65,288,612.07,1.655,0.998,8.907,1.022,17.64,0.349,0.95,0.986
5.14,15,21638,1924.3,8504.8,175.3,175.3,720.63,288,643.63,2.075,0.998,11.071,1.026,25.754,0.51,0.95,0.986
6.175,18,29796,2307.3,8839.8,246.34,246.34,788.13,288,673.93,2.497,0.998,13.205,1.03,34.959,0.692,0.95,0.986
7.148,21,38978,2678.1,9138,332.14,332.14,843.37,288,698.05,2.957,0.998,15.49,1.035,44.989,0.891,0.95,0.986
8.206,24,50998,3087.6,9322.6,437.99,437.99,940.74,288,739.99,3.566,0.998,18.398,1.041,61.376,1.215,0.95,0.986
9.3,27,72772,3560.4,9787,644.83,644.83,1106,288,787.55,4.484,0.998,22.511,1.049,91.391,1.809,0.95,0.986
1.138,3,7456.8,1363.4,6724,8.435,8.435,672.06,288,580.96,1.334,0.998,7.246,1.019,11.382,0.333,0.95,0.987
2.088,6,6089.6,1351.8,6844,23.732,23.732,608.51,288,576.21,1.298,0.998,7.027,1.019,21.587,0.266,0.95,0.987
3.144,9,8380.5,1386.8,7142.9,60.376,60.376,596.12,288,585.79,1.387,0.998,7.486,1.02,12.678,0.251,0.95,0.987
4.161,12,14725,1547.5,7816.9,113.81,113.81,650.77,288,611.9,1.655,0.998,8.898,1.022,17.598,0.348,0.95,0.987
5.14,15,21639,1924.3,8505.8,175.33,175.33,719.66,288,643.45,2.075,0.998,11.059,1.026,25.698,0.509,0.95,0.987
6.175,18,29796,2307.3,8840.8,246.27,246.27,787.03,288,673.71,2.497,0.998,13.191,1.03,34.887,0.691,0.95,0.987
7.148,21,38977,2678.1,9138.5,332.16,332.16,842.34,288,697.88,2.956,0.998,15.473,1.035,44.908,0.889,0.95,0.987
8.206,24,50998,3087.6,9322.9,438.02,438.02,939.72,288,739.83,3.566,0.998,18.376,1.041,61.281,1.213,0.95,0.987
9.3,27,72773,3560.4,9787.8,645.07,645.07,1105.1,288,787.42,4.483,0.998,22.484,1.049,91.287,1.807,0.95,0.987
1.138,3,6810.6,1333.8,6707.4,6.756,6.756,661.71,288,578.01,1.308,0.998,7.107,1.019,25.58,0.328,0.95,0.988
2.088,6,6169.8,1352.9,6847.3,23.94,23.94,609.55,288,576.42,1.301,0.998,7.037,1.019,21.312,0.267,0.95,0.988
3.144,9,8380.5,1386.8,7145.5,60.364,60.364,595.31,288,585.64,1.387,0.998,7.479,1.02,12.645,0.25,0.95,0.988
4.161,12,14726,1547.5,7818.9,113.81,113.81,649.89,288,611.74,1.655,0.998,8.889,1.022,17.556,0.348,0.95,0.988
5.14,15,21639,1924.3,8506.7,175.3,175.3,718.69,288,643.26,2.075,0.998,11.048,1.026,25.642,0.508,0.95,0.988
6.175,18,29797,2307.3,8841.8,246.3,246.3,785.94,288,673.5,2.497,0.998,13.177,1.03,34.816,0.689,0.95,0.988
7.148,21,38977,2678.1,9139,332.16,332.16,841.31,288,697.71,2.955,0.998,15.456,1.035,44.828,0.888,0.95,0.988
8.206,24,50997,3087.6,9323.3,438.13,438.13,938.71,288,739.67,3.565,0.998,18.355,1.041,61.186,1.211,0.95,0.988
9.3,27,72774,3560.4,9788.5,645.02,645.02,1104.2,288,787.29,4.482,0.998,22.457,1.049,91.183,1.805,0.95,0.988
1.138,3,4893.2,1312.8,6695.2,5.598,5.598,615.36,288,570.58,1.249,0.998,6.769,1.019,33.173,0.278,0.95,0.989
2.088,6,5864.1,1349.8,6848,23.383,23.383,601.38,288,575.05,1.291,0.998,6.975,1.019,22.212,0.258,0.95,0.989
3.144,9,8380.7,1386.8,7148.1,60.366,60.366,594.5,288,585.49,1.387,0.998,7.472,1.02,12.611,0.25,0.95,0.989
4.161,12,14726,1547.5,7820.9,113.81,113.81,649.02,288,611.58,1.655,0.998,8.881,1.022,17.514,0.347,0.95,0.989
5.14,15,21639,1924.3,8507.6,175.35,175.35,717.72,288,643.09,2.074,0.998,11.037,1.026,25.587,0.506,0.95,0.989
6.175,18,29797,2307.3,8842.9,246.31,246.31,784.85,288,673.28,2.496,0.998,13.164,1.03,34.745,0.688,0.95,0.989
7.148,21,38977,2678.1,9139.5,332.07,332.07,840.29,288,697.55,2.955,0.998,15.439,1.035,44.747,0.886,0.95,0.989
8.206,24,50997,3087.6,9323.6,438.13,438.13,937.7,288,739.51,3.564,0.998,18.334,1.041,61.091,1.209,0.95,0.989
9.3,27,72774,3560.4,9789.2,645.06,645.06,1103.3,288,787.15,4.48,0.998,22.43,1.049,91.079,1.803,0.95,0.989
1.138,3,3716.2,1308.1,6693.6,5.337,5.337,582.83,288,565.53,1.212,0.998,6.55,1.019,33.388,0.241,0.95,0.99
2.088,6,5609.2,1347.9,6849.3,23.017,23.017,594.39,288,573.96,1.283,0.998,6.925,1.019,22.981,0.25,0.95,0.99
3.144,9,8380.8,1386.8,7150.7,60.381,60.381,593.69,288,585.34,1.387,0.998,7.464,1.02,12.577,0.249,0.95,0.99
4.161,12,14726,1547.5,7823,113.81,113.81,648.14,288,611.42,1.654,0.998,8.872,1.022,17.472,0.346,0.95,0.99
5.14,15,21639,1924.3,8508.5,175.3,175.3,716.75,288,642.9,2.074,0.998,11.026,1.026,25.532,0.505,0.95,0.99
6.175,18,29797,2307.3,8843.9,246.37,246.37,783.76,288,673.06,2.496,0.998,13.15,1.03,34.673,0.687,0.95,0.99
7.148,21,38976,2678.1,9140,332.1,332.1,839.27,288,697.38,2.954,0.998,15.423,1.035,44.667,0.884,0.95,0.99
8.206,24,50997,3087.6,9324,438.04,438.04,936.69,288,739.36,3.563,0.998,18.313,1.041,60.996,1.208,0.95,0.99
9.3,27,72775,3560.4,9790,644.93,644.93,1102.5,288,787.02,4.479,0.998,22.404,1.049,90.975,1.801,0.95,0.99
1.138,3,2639.7,1307.7,6694.7,5.304,5.304,551.02,288,560.64,1.177,0.998,6.346,1.019,32.625,0.204,0.95,0.991
2.088,6,5612.3,1347.9,6851.8,23.027,23.027,593.58,288,573.79,1.283,0.998,6.918,1.019,22.796,0.25,0.95,0.991
3.144,9,8380.9,1386.8,7153.3,60.37,60.37,592.88,288,585.19,1.387,0.998,7.457,1.02,12.544,0.248,0.95,0.991
4.161,12,14726,1547.5,7825,113.81,113.81,647.27,288,611.26,1.654,0.998,8.863,1.022,17.43,0.345,0.95,0.991
5.14,15,21639,1924.3,8509.4,175.31,175.31,715.79,288,642.73,2.074,0.998,11.014,1.026,25.476,0.504,0.95,0.991
6.175,18,29798,2307.2,8844.9,246.28,246.28,782.67,288,672.84,2.496,0.998,13.137,1.03,34.602,0.685,0.95,0.991
7.148,21,38976,2678.1,9140.5,332.14,332.14,838.25,288,697.21,2.954,0.998,15.406,1.035,44.587,0.883,0.95,0.991
8.206,24,50997,3087.6,9324.3,438.07,438.07,935.68,288,739.2,3.562,0.998,18.292,1.041,60.901,1.206,0.95,0.991
9.3,27,72776,3560.4,9790.7,645.05,645.05,1101.6,288,786.89,4.478,0.998,22.377,1.049,90.872,1.799,0.95,0.991
1.138,3,1747,1310.4,6697.8,5.445,5.445,521.74,288,556.35,1.147,0.998,6.173,1.019,29.309,0.168,0.95,0.992
2.088,6,5259.4,1346.2,6853.4,22.708,22.708,583.69,288,572.26,1.272,0.998,6.849,1.019,23.154,0.239,0.95,0.992
3.144,9,8381,1386.8,7155.9,60.375,60.375,592.08,288,585.05,1.387,0.998,7.45,1.02,12.51,0.248,0.95,0.992
4.161,12,14726,1547.5,7827.1,113.82,113.82,646.4,288,611.11,1.654,0.998,8.854,1.022,17.388,0.344,0.95,0.992
5.14,15,21639,1924.3,8510.3,175.31,175.31,714.83,288,642.55,2.074,0.998,11.003,1.026,25.421,0.503,0.95,0.992
6.175,18,29798,2307.2,8846,246.33,246.33,781.59,288,672.62,2.495,0.998,13.123,1.03,34.532,0.684,0.95,0.992
7.148,21,38976,2678.1,9141,332.11,332.11,837.24,288,697.04,2.953,0.998,15.389,1.035,44.508,0.881,0.95,0.992
8.206,24,50997,3087.6,9324.7,437.98,437.98,934.68,288,739.04,3.561,0.998,18.271,1.041,60.807,1.204,0.95,0.992
9.3,27,72776,3560.4,9791.4,644.95,644.95,1100.7,288,786.76,4.477,0.998,22.35,1.049,90.768,1.797,0.95,0.992
1.138,3,530.99,1324.4,6707.5,6.181,6.181,473.95,288,549.71,1.103,0.998,5.916,1.019,19.388,0.108,0.95,0.993
2.088,6,5302.6,1346.3,6856,22.737,22.737,583.96,288,572.24,1.273,0.998,6.848,1.019,22.888,0.239,0.95,0.993
3.144,9,8381.1,1386.8,7158.5,60.377,60.377,591.27,288,584.9,1.387,0.998,7.443,1.02,12.477,0.247,0.95,0.993
4.161,12,14726,1547.5,7829.1,113.81,113.81,645.54,288,610.95,1.654,0.998,8.845,1.022,17.346,0.343,0.95,0.993
5.14,15,21640,1924.3,8511.3,175.33,175.33,713.87,288,642.37,2.073,0.998,10.992,1.026,25.366,0.502,0.95,0.993
6.175,18,29798,2307.2,8847,246.29,246.29,780.51,288,672.41,2.495,0.998,13.11,1.03,34.461,0.682,0.95,0.993
7.148,21,38975,2678.1,9141.5,332.06,332.06,836.23,288,696.88,2.952,0.998,15.372,1.035,44.428,0.88,0.95,0.993
8.206,24,50997,3087.6,9325,437.98,437.98,933.68,288,738.89,3.56,0.998,18.25,1.041,60.713,1.202,0.95,0.993
9.3,27,72777,3560.4,9792.1,644.94,644.94,1099.9,288,786.63,4.476,0.998,22.323,1.049,90.666,1.795,0.95,0.993
1.138,3,305.71,1332.4,6714.8,6.616,6.616,460.88,288,547.94,1.094,0.998,5.85,1.019,14.834,0.089,0.95,0.994
2.088,6,5179.2,1345.8,6858.2,22.643,22.643,579.98,288,571.68,1.269,0.998,6.824,1.019,23.23,0.235,0.95,0.994
3.144,9,8381.2,1386.8,7161.1,60.378,60.378,590.47,288,584.75,1.387,0.998,7.436,1.02,12.444,0.246,0.95,0.994
4.161,12,14726,1547.5,7831.1,113.81,113.81,644.67,288,610.79,1.654,0.998,8.836,1.022,17.305,0.343,0.95,0.994
5.14,15,21640,1924.3,8512.2,175.31,175.31,712.92,288,642.19,2.073,0.998,10.981,1.026,25.311,0.501,0.95,0.994
6.175,18,29798,2307.2,8848,246.3,246.3,779.44,288,672.19,2.495,0.998,13.096,1.03,34.391,0.681,0.95,0.994
7.148,21,38975,2678.1,9142,332.09,332.09,835.22,288,696.71,2.952,0.998,15.356,1.035,44.349,0.878,0.95,0.994
8.206,24,50997,3087.6,9325.4,438.08,438.08,932.68,288,738.74,3.559,0.998,18.23,1.041,60.619,1.2,0.95,0.994
9.3,27,72777,3560.4,9792.9,645.14,645.14,1099,288,786.5,4.474,0.998,22.297,1.049,90.563,1.793,0.95,0.994
1.138,3,314.48,1349.5,6728.4,7.553,7.553,451.45,288,547.74,1.096,0.998,5.843,1.019,4.567,0.071,0.95,0.995
2.088,6,5228,1346,6860.9,22.671,22.671,580.5,288,571.71,1.27,0.998,6.825,1.019,23.174,0.236,0.95,0.995
3.144,9,8381.3,1386.8,7163.7,60.387,60.387,589.67,288,584.6,1.387,0.998,7.429,1.02,12.41,0.246,0.95,0.995
4.161,12,14726,1547.5,7833.2,113.82,113.82,643.81,288,610.63,1.653,0.998,8.827,1.022,17.263,0.342,0.95,0.995
5.14,15,21640,1924.3,8513.1,175.33,175.33,711.97,288,642.01,2.073,0.998,10.97,1.026,25.256,0.5,0.95,0.995
6.175,18,29798,2307.2,8849.1,246.38,246.38,778.37,288,671.98,2.494,0.998,13.083,1.03,34.321,0.68,0.95,0.995
7.148,21,38975,2678.1,9142.5,332.11,332.11,834.21,288,696.55,2.951,0.998,15.339,1.035,44.27,0.877,0.95,0.995
8.206,24,50996,3087.6,9325.8,438.07,438.07,931.66,288,738.58,3.558,0.998,18.209,1.041,60.524,1.198,0.95,0.995
9.3,27,72779,3560.5,9793.6,644.87,644.87,1098.1,288,786.37,4.473,0.998,22.27,1.049,90.461,1.791,0.95,0.995
1.138,3,497.38,1359.4,6737.6,8.111,8.111,454.61,288,548.75,1.104,0.998,5.882,1.019,0,0.072,0.95,0.996
2.088,6,4826.3,1344.7,6862.7,22.448,22.448,569.04,288,569.89,1.258,0.998,6.745,1.019,23.176,0.222,0.95,0.996
3.144,9,8381.4,1386.8,7166.3,60.382,60.382,588.87,288,584.45,1.386,0.998,7.422,1.02,12.377,0.245,0.95,0.996
4.161,12,14726,1547.5,7835.2,113.82,113.82,642.95,288,610.47,1.653,0.998,8.819,1.022,17.222,0.341,0.95,0.996
5.14,15,21640,1924.3,8514,175.31,175.31,711.01,288,641.83,2.072,0.998,10.959,1.026,25.202,0.499,0.95,0.996
6.175,18,29798,2307.2,8850.1,246.33,246.33,777.29,288,671.76,2.494,0.998,13.069,1.03,34.251,0.678,0.95,0.996
7.148,21,38975,2678.1,9143,332.11,332.11,833.21,288,696.38,2.951,0.998,15.323,1.035,44.191,0.875,0.95,0.996
8.206,24,50995,3087.6,9326.2,438.12,438.12,930.65,288,738.43,3.558,0.998,18.189,1.041,60.429,1.196,0.95,0.996
